;Name;Metro;Address;Price;Site;WorkTime;Telephone;Sociallinks
1;VR Home;Академическая;Проспект 60-летия Октября 11;;www.clubvrhome.com/;Круглосуточно;8 916 594 87 57;vk.com/club157634811 https://www.instagram.com/vr_home
2;VR Port;Кропоткинская;Переулок Сивцев Вражек, д. 19;;www.vrport.ru/;Ежедневно: 12:00 - 23:00;8 499 241 21 00     8 903 617 71 21;vk.com/vr_port https://www.instagram.com/vrport_moscow/ https://www.facebook.com/VRPort.Moscow/
3;Engage VR Flacon;Дмитровская;Ул. Б.Новодмитровская, 36с2, 3 этаж;;engage2vr.com/flacon;Ежедневно: 10:00 - 22:00;8 499 490 46 68;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/
4;Engage VR Мозайка;Автозаводская,Дубровка;Ул. 7-я Кожуховская, 9;;engage2vr.com/moscow_mosaica;Ежедневно: 10:00 - 22:00;8 499 490 45 68;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/
5;Engage VR Авиапарк;Аэропорт;Ул. Ходынский бульвар, д. 4;;engage2vr.com/aviapark;Ежедневно: 10:00 - 22:00;8 499 242 02 22;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/
7;Z8 VR;Кутузовская;Кутузовский пр-т д. 36 стр. 28;;z8park.com;Ежедневно: 10:00 - 22:00;8 499 490 99 17;-
8;Platforma VR;Курская;4-й Сыромятнический переулок, д. 1/8, стр. 6, 1 этаж;;http://platformavr.com/;Ежедневно: 11:00 - 23:00;8 977 102 14 99;-
9;Нереальное Место;Курская;Нижний сусальный переулок д. 5, стр. 5А;;www.unreal.place;Ежедневно: 12:00 - 24:00;8 495 308 05 70;vk.com/unreal.place https://www.instagram.com/unreal.place/ https://www.facebook.com/unreal.place.club
10;Void VR;Смоленская;Смоленская-Сенная пл., д. 30, стр. 4;;http://vr-void.ru/;Ежедневно: 11:00 - 23:00;8 495 924 50 90;vk.com/vr_void www.instagram.com/vr_void/
11;ANVIO – Красная Роза;Парк культуры;Ул. Тимура Фрунзе, д. 11, стр. 44;;https://anvio.com/ru-ru/moscow/locations/redrose/;Ежедневно: 10:00 - 00:00;8 495 795 95 94;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr
12;ANVIO – Сухаревская Площадь;Сухаревская;Большая Сухаревская площадь, 9;;https://anvio.com/ru-ru/moscow/locations/sukharevskaya/;Ежедневно: 10:30 - 01:00;8 901 906 01 56;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr
13;ANVIO – Трехгорная Мануфактура;Улица 1905 года;Ул. Рочдельская, д. 15, стр. 29;;https://anvio.com/ru-ru/moscow/locations/1905/;Вс-Чт: 10:00 - 23:00, Пт-Сб: 10:00 - 00:00;8 495 162 91 51;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr
14;ANVIO – Сухаревская Площадь;Тульская;Варшавское шоссе, д. 9, стр. 1;;https://anvio.com/ru-ru/moscow/locations/sukharevskaya/;Ежедневно: 10:00 - 00:00;8 499 795 95 76;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr
15;Another-World;Савеловская, Дмитровская, Марьина Роща;Ул. Складочная 1, стр. 1;;another-world.com;Ежедневно:;8 495 175 20 38;vk.com/another_world_vr https://www.instagram.com/aw.vr/ facebook.com/anotherworld.russia/
16;VR-GO;Белорусская, Маяковская;Ул. Васильевская, д. 3;;http://vr-go.club/;Ежедневно: 12:00 - 23:00;8 999 900 68 99;vk.com/joinvrgo www.instagram.com/vrgo.club/
17;Гравити 17;Войковская;Старопетровский проезд, 1, стр. 2;;https://gravity17.ru/;Ежедневно: 10:00 - 22:00;8 977 527 31 91;vk.com/gravity1717 https://www.instagram.com/vr_gravity17/
18;Titan VR;Мякинино;66 км МКАД, Vegas Крокус Сити;;http://www.titanvr.com/;Чт-Вс с 12:00 - 23:00, перерыв с 13:00 - 14:00;8 985 762 04 25;vk.com/public155385948 www.instagram.com/titan_vr/ www.facebook.com/titanvrvegas/
19;ARena Space ЦДМ;Лубянка, Кузнецкий мост;Театральный пр., д. 5/1, ЦМД, 0 этаж;;https://arenaspace.ru/nashi-parki/arena-space-czdm/;Пн-Вс: 10:00 - 22:00;8 499 110 81 27;vk.com/arenaspace www.instagram.com/arenaspacevr/ www.facebook.com/arenaspacevr
20;ARena Space Калужский;Калужская, Новые Черемушки, Беляево;Ул. Профсоюзная 61А, ТРЦ Калужский, 3 этаж;;https://arenaspace.ru/nashi-parki/arena-space-kaluzhskij/;Пн-Вс: 10:00 - 22:00;8 499 110 81 27;vk.com/arenaspace www.instagram.com/arenaspacevr/ www.facebook.com/arenaspacevr
21;ARena Space ВДНХ;ВДНХ;Проспект Мира, д. 119, стр. 2;;https://arenaspace.ru/nashi-parki/arena-space-vdnh/;Пн-Вс: 11:00 - 20:00;8 499 110 81 27;vk.com/arenaspace www.instagram.com/arenaspacevr/ www.facebook.com/arenaspacevr
22;ARena Space Красный Кит;Медвоково;Шараповский проезд, вл. 2, 3 этаж;;https://arenaspace.ru/nashi-parki/arena-space-krasnyij-kit/;Пн-Вс: 10:00 - 23:00;8 499 288 01 89;vk.com/arenaspace www.instagram.com/arenaspacevr/ www.facebook.com/arenaspacevr
