;name;metro;address;price;domain;workTime;tel;socialLinks;cover;logo;screenShot;videos;equipment;baloon
1;VR Home;Академическая;Проспект 60-летия Октября 11;500;www.clubvrhome.com/;Пн-Вс: 12:00 - 24:00;+7 916 594 87 57;vk.com/club157634811 https://www.instagram.com/vr_home;vr-home-cover.jpg;Vr-home-logo.webp;vr-home1.jpg,vr-home2.jpg,vr-home1.jpg,vr-home1.jpg,vr-home1.jpg,vr-home1.jpg,vr-home1.jpg,vr-home1.jpg,vr-home1.jpg,;;4 HTC Vive,PS4;55.697960,37.579124
2;VR Port;Кропоткинская;Переулок Сивцев Вражек, д. 19;550;www.vrport.ru/;Пн-Вс: 12:00 - 23:00;+7 499 241 21 00;vk.com/vr_port https://www.instagram.com/vrport_moscow/ https://www.facebook.com/VRPort.Moscow/;vrport-cover.jpg;vrport-logo.webp;vrport1.webp,vrport2.webp,vrport3.webp,vrport4.webp,vrport5.webp,vrport6.webp;;4 HTC Vive;55.747297,37.593731
3;Engage VR Flacon;Дмитровская;Ул. Б.Новодмитровская, 36с2, 3 этаж;1000;engage2vr.com/flacon;Пн-Вс: 10:00 - 22:00;+7 499 490 46 68;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/;engagevrflacon-cover.jpg;engage2vr-logo.svg;engage2vr-flacon1.jpg,engage2vr-flacon2.jpg,engage2vr-flacon3.jpg,engage2vr-flacon4.jpg,engage2vr-flacon5.jpg;;;55.805093,37.585278
4;Engage VR Мозайка;Автозаводская,Дубровка;Ул. 7-я Кожуховская, 9;1000;engage2vr.com/moscow_mosaica;Пн-Вс: 10:00 - 22:00;+7 499 490 45 68;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/;engagevrmosaica-cover.jpg;engage2vr-logo.svg;engage2vr-mosaica1.jpg,engage2vr-mosaica2.jpg,engage2vr-mosaica3.jpg,engage2vr-mosaica4.jpg,engage2vr-mosaica5.jpg,engage2vr-mosaica6.jpg,;;;55.710687,37.675100
5;Engage VR Авиапарк;Аэропорт;Ул. Ходынский бульвар, д. 4;1000;engage2vr.com/aviapark;Пн-Вс: 10:00 - 22:00;+7 499 242 02 22;vk.com/engagevr https://www.instagram.com/engage2vr/ https://www.facebook.com/Engage2VR/;engagevraviapark-cover.jpg;engage2vr-logo.svg;engage2vr-aviapark1.jpg,engage2vr-aviapark2.jpg,engage2vr-aviapark3.jpg,engage2vr-aviapark4.jpg,engage2vr-aviapark5.jpg;;;55.790458,37.531011
6;Z8 VR;Кутузовская;Кутузовский пр-т д. 36 стр. 28;400;z8park.com;Пн-Вс: 10:00 - 22:00;+7 499 490 99 17;-;z8park-cover.jpg;z8park-logo.png;z8park1.png,z8park2.jpg,z8park3.png;https://www.youtube.com/embed/MZEYF6g3IT8;;55.741353,37.526627
7;Нереальное Место;Курская;Нижний сусальный переулок д. 5, стр. 5А;350;www.unreal.place;Пн-Вс: 12:00 - 24:00;+7 495 308 05 70;vk.com/unreal.place https://www.instagram.com/unreal.place/ https://www.facebook.com/unreal.place.club;unrealplace-cover.jpg;unreal_place_LOGO.png;unreal_place1.jpg,unreal_place2.jpg,unreal_place3.jpg,unreal_place4.jpg;;;55.759613,37.664177
8;Void VR;Смоленская;Смоленская-Сенная пл., д. 30, стр. 4;400;http://vr-void.ru/;Пн-Вс: 11:00 - 23:00;+7 495 924 50 90;vk.com/vr_void www.instagram.com/vr_void/;vrvoid-cover.jpg;vr-void-logo.png;vr-void1.jpg,vr-void2.jpg,vr-void3.jpg,vr-void4.jpg,vr-void5.jpg;https://www.youtube.com/embed/z4BZezXaim4;;
9;ANVIO – Красная Роза;Парк культуры;Ул. Тимура Фрунзе, д. 11, стр. 44;4000;https://anvio.com/ru-ru/moscow/locations/redrose/;Ежедневно: 10:00 - 00:00;+7 495 795 95 94;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr;anvioredrose-cover.jpg;anvio_logo.svg;anvio1.jpg,anvio2.jpg,anvio3.jpg,anvio4.jpg,anvio5.jpg,anvio6.jpg,anvio7.jpg,anvio8.jpg;;4 HTC Vive;55.745032,37.583832
10;ANVIO – Сухаревская Площадь;Сухаревская;Большая Сухаревская площадь, 9;4000;https://anvio.com/ru-ru/moscow/locations/sukharevskaya/;Ежедневно: 10:30 - 01:00;+7 901 906 01 56;vk.com/anviovr https://www.instagram.com/anviovr https://www.facebook.com/anviovr;anviosucharevskaya-cover.jpg;anvio_logo.svg;anvio1.jpg,anvio2.jpg,anvio3.jpg,anvio4.jpg,anvio5.jpg,anvio6.jpg,anvio7.jpg,anvio8.jpg;;4 HTC Vive;55.735013,37.585745
