;name;description;clubs;pictures;videos;genre;playersNum;platform;language;Year;developer;ageLimit;rating;tags
1;Batman: Arkham VR;Игра погрузит вас в мир Темного Рыцаря и позволит по-настоящему ощутить себя величайшим детективом на планете!;;https://steamcdn-a.akamaihd.net/steam/apps/502820/header.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_bfb0ab888210c6e9c946371ff860fbe098138334.600x338.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_41cb1e2beff3c71b54fc632a2a18e2f9621c29cc.600x338.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_d0e93ca434fc24841543b5030100be8d43bd9d39.600x338.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_9e9add450d9e159e89ced0267b9b74b92b490399.600x338.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_9e4e31da7eaadfe260f5bd355cb590680e3f16ac.600x338.jpg?t=1502192897, https://steamcdn-a.akamaihd.net/steam/apps/502820/ss_3be5bc8c0c49dbf60eef80a550880427a4a13171.600x338.jpg?t=1502192897;https://www.youtube.com/embed/gQXHNzlKxsc;Квесты;1;PC, PS4;Английский язык;PS4: 13.10.2016, PC: 25.04.2017;Rocksteady Studios;;;VR
2;Westworld Awakening;“Westworld Awakening” is a narrative-driven experience played from the perspective of Kate – a host who has attained self-awareness. To survive a dangerous underworld where no one and nothing is what it seems, you must overcome an entire world designed to destroy and enslave you.;;https://steamcdn-a.akamaihd.net/steam/apps/1133320/header.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_8fcd8a94d701c1830df6c0c68fa4ce85a03b6e27.600x338.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_09f4dc36822a7a3b64a54a60a995c45df043be79.600x338.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_e3d5f98017e5a67c9107df22c9ba1dd1c9d438d9.600x338.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_011eb892e48e4aade496483a185e24be15ac8eef.600x338.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_f0540a47cd9cc795d53bf4cc9d96d71d2cc327ad.600x338.jpg?t=1566526512, https://steamcdn-a.akamaihd.net/steam/apps/1133320/ss_b296fdf73edea8b627b6aa5bc03fe6ce491d9c32.600x338.jpg?t=1566526512;https://www.youtube.com/embed/ItRY962U2d0;Приключения;1;PC;Английский язык;PC: 20.08.2019;Survios
;;;VR
3;Serious Sam VR: The Last Hope;Можете ли Вы представить: настоящий монстр бежит прямо на Вас, а у Вас в руках его уже ждёт парочка дробовиков? Да, настолько хороша эта игра! Время учиться у больших мальчиков!;;https://steamcdn-a.akamaihd.net/steam/apps/465240/header.jpg?t=1555500679 https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_49c32b3daa0ad9b34686a79e4b3da3165eb691d7.600x338.jpg, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_01402ea9bca9025a876fcd53531305aebeedcd06.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_528af5d6a30bdbd09491d9f44e34fb644d14c338.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_e3eea5c8ff579f9ef8fab3d56466aa0ab165de89.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_e206b9bcb1d39d43dc5203c74c6135f73e53e3d0.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_e10ea1cd4779646212ac2e6887b1d567ba589bab.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_816ec5b70a848aafcc41ab9439f52dde991e9198.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_d3c8fee1339f042c70b133fbd432e7c8d90a5f28.600x338.jpg?t=1555500679, https://steamcdn-a.akamaihd.net/steam/apps/465240/ss_3929a5c3adcf99c21004d71667fba7122363a1dd.600x338.jpg?t=1555500679;https://www.youtube.com/embed/BnYorJy797I;Экшен;1-2;PC;Английский язык;PC: 20.09.2017;Croteam VR
;;;Shooter, VR
4;Beat Saber;Beat Saber is a VR rhythm game where you slash the beats of adrenaline-pumping music as they fly towards you, surrounded by a futuristic world.;;https://steamcdn-a.akamaihd.net/steam/apps/620980/header.jpg?t=1566319139, https://steamcdn-a.akamaihd.net/steam/apps/620980/ss_1881ae4f153faf0d1ccecca60fbdac5b43ad57eb.600x338.jpg?t=1566319139, https://steamcdn-a.akamaihd.net/steam/apps/620980/ss_114dc9a9f27666b2d56801ba49a1db8fa202b6ee.600x338.jpg?t=1566319139, https://steamcdn-a.akamaihd.net/steam/apps/620980/ss_b65444cc4513f34bd41fa6b0fe96cf11d94fea8d.600x338.jpg?t=1566319139, https://steamcdn-a.akamaihd.net/steam/apps/620980/ss_542d092f42c779c866167bec05c1da488bcd91f8.600x338.jpg?t=1566319139, https://steamcdn-a.akamaihd.net/steam/apps/620980/ss_910fb7ad48bfdd918b0396b14f3dd45fc7f2e847.600x338.jpg?t=1566319139;https://www.youtube.com/embed/Q1YPdduGJfo;Инди;1;PC;Английский язык;PC: 21.05.2019;Beat Games;;;Music, Rhythm, Indie, Great Soundtrack, VR
5;SUPERHOT VR;Lose track of what’s real. Commit yourself, body and mind. Confront the evocative, elegantly brutal world of SUPERHOT VR. Enemies pouring into the room from all sides, dozens of bullets coursing through the air... Wait. Something seems different in here...;;https://steamcdn-a.akamaihd.net/steam/apps/617830/header.jpg?t=1560763484, https://steamcdn-a.akamaihd.net/steam/apps/617830/ss_404fd9fd4334816a53fc671b7f8630e30a68f8d5.600x338.jpg?t=1560763484, https://steamcdn-a.akamaihd.net/steam/apps/617830/ss_617ac5ced2d2ba1502f4e84f79dae9f3c342e5b6.600x338.jpg?t=1560763484, https://steamcdn-a.akamaihd.net/steam/apps/617830/ss_cdc86cfed30c8c5d19c997e4881b7f71d6b9a337.600x338.jpg?t=1560763484, https://steamcdn-a.akamaihd.net/steam/apps/617830/ss_9487f656eef3e34cf32253a618e120f276c49c25.600x338.jpg?t=1560763484, https://steamcdn-a.akamaihd.net/steam/apps/617830/ss_9706fa20fc41f0aeaf3c93d27c9a8042f0af342b.600x338.jpg?t=1560763484;https://www.youtube.com/embed/vdZJvg7rNRw;Экшен;1;PC;Английский язык;PC: 25.05.2017;SUPERHOT Team;;;Action, Shooter, Indie, VR
6;Arizona Sunshine;Built exclusively for VR, Arizona Sunshine puts you in the midst of a zombie apocalypse. Handle weapons with real-life movements, freely explore a post-apocalyptic world, and put your survival skills to the test in VR - putting the undead back to rest is more thrilling than ever before.;;https://steamcdn-a.akamaihd.net/steam/apps/342180/header.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_6245664dc1ef110b4b4b811be87dd26b43c2a5d3.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_e7aa3e0181f151230597b9628873460041f76494.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_6148caed4c7463a0db38017a78f151dd416c8389.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_544e6862e9229cf0c634204957bc6d8ff8034b12.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_9bb22b961071237e54817c6bab29cc82cfb321de.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_76eedc4f7fa20ee4fb53b0ef0a2b2f8822a0c8a9.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_b7d77d1e4821c1fa4c9f47d3f39e7e2070dc4b36.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_b06473fe25aa81dc447005ccb0dc524516e54684.600x338.jpg?t=1563533235, https://steamcdn-a.akamaihd.net/steam/apps/342180/ss_06c09306e230fb1f62b369f5d3790ae360bd2abc.600x338.jpg?t=1563533235;https://www.youtube.com/embed/l_gWDl_f6V8;Экшен;1-4;PC;Английский язык;PC: 06.12.2016;Vertigo Games, Jaywalkers Interactive;;;Zombies, VR, Horror, Action, Multiplayer
7;Fruit Ninja;Тот самый Frut Ninja, только теперь Вы по-настоящему размахиваете самурайскими катанами и нарезаете сочные фрукты!;;https://steamcdn-a.akamaihd.net/steam/apps/486780/header.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_d5ee9f9322dc9edb45968452f2f60c593c1ec3ed.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_23e5f0f6d47f2f3fb09ecedbca0cd9a7d23f56dd.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_ad19d43f78a4ec4a69c6897637c2757a1a6d1be3.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_6d7209c8896863d9a26fcb8ebf8cad50d88f061b.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_0c03f4351cdf8e45f6aa7ec825045488f6844a5a.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_a906d584344a395a8663218f94c97fe9a8b56b01.600x338.jpg?t=1561452022, https://steamcdn-a.akamaihd.net/steam/apps/486780/ss_92527f7b8ab6247e2d6969f3150cd5bf0ed35c38.600x338.jpg?t=1561452022;https://www.youtube.com/embed/H1CRhg2mDTI;Экшен;1;PC;Английский язык;PC: 07.07.2016;Halfbrick Studios Pty Ltd;;;VR, Action, Sports, Casual, Simulation
8;The Elder Scrolls V: Skyrim VR;A true, full-length open-world game for VR has arrived from Bethesda Game Studios. Skyrim VR reimagines the complete epic fantasy masterpiece with an unparalleled sense of scale, depth, and immersion. Skyrim VR also includes all official add-ons.;;https://steamcdn-a.akamaihd.net/steam/apps/611670/header.jpg?t=1564002443, https://steamcdn-a.akamaihd.net/steam/apps/611670/ss_8439fefb3f8efdefae1dfb47aabba1c0ae616ef4.600x338.jpg?t=1564002443, https://steamcdn-a.akamaihd.net/steam/apps/611670/ss_3737964d741715847d62317e6598c86847cb1cfa.600x338.jpg?t=1564002443, https://steamcdn-a.akamaihd.net/steam/apps/611670/ss_5a9d0f4c3a98873de13e64934e6bf46058aabb25.600x338.jpg?t=1564002443, https://steamcdn-a.akamaihd.net/steam/apps/611670/ss_d3fac3f1b058881c7f208cfd8bd53a04e39837c9.600x338.jpg?t=1564002443, https://steamcdn-a.akamaihd.net/steam/apps/611670/ss_73a051ca47e7aba7d9307c916aa2757a47af39d4.600x338.jpg?t=1564002443,;https://www.youtube.com/embed/JSRtYpNRoN0;Экшен;1;PC;Английский язык;PC: 03.04.2018;Bethesda Game Studios;;;Open World, RPG, VR, Singleplayer, Adventure
